Probe Name,Annotation,h3k4me3,20191001_cd1_J11_11.RCC,20191001_cd1_J01_01.RCC,20191001_cd1_J03_03.RCC,20191001_cd1_J06_06.RCC,20191001_cd1_J07_07.RCC,20191001_cd2_J14_02.RCC,20191001_cd2_M02_04.RCC,20191001_cd2_M08_10.RCC,20191001_cd2_M09_11.RCC,20191002_cd3_M20_10.RCC,20191002_cd3_M21_11.RCC,20191003_cd4_M32_10.RCC,20191001_cd1_J10_10.RCC,20191001_cd1_J12_12.RCC,20191001_cd1_J02_02.RCC,20191001_cd1_J04_04.RCC,20191001_cd1_J05_05.RCC,20191001_cd1_J08_08.RCC,20191001_cd1_J09_09.RCC,20191001_cd2_J13_01.RCC,20191001_cd2_M10_12.RCC,20191001_cd2_M01_03.RCC,20191001_cd2_M03_05.RCC,20191001_cd2_M04_06.RCC,20191001_cd2_M05_07.RCC,20191001_cd2_M06_08.RCC,20191001_cd2_M07_09.RCC,20191002_cd3_M11_01.RCC,20191002_cd3_M12_02.RCC,20191002_cd3_M13_03.RCC,20191002_cd3_M14_04.RCC,20191002_cd3_M15_05.RCC,20191002_cd3_M16_06.RCC,20191002_cd3_M17_07.RCC,20191002_cd3_M18_08.RCC,20191002_cd3_M19_09.RCC,20191002_cd3_M22_12.RCC,20191003_cd4_M23_01.RCC,20191003_cd4_M24_02.RCC,20191003_cd4_M25_03.RCC,20191003_cd4_M26_04.RCC,20191003_cd4_M27_05.RCC,20191003_cd4_M28_06.RCC,20191003_cd4_M29_07.RCC,20191003_cd4_M30_08.RCC,20191003_cd4_M31_09.RCC,20191003_cd4_M33_11.RCC,20191003_cd4_M34_12.RCC
TMC5_A,Aditi,gain,47.01,1045.62,677.39,60.45,1714.48,353.98,421.78,20.54,166.2,2210.88,414.11,218.4,9.84,3.68,20.24,24.53,5.25,3.66,7.43,15.55,3.75,47.95,9.38,2.33,42.33,30.89,4.13,21.07,10.69,13.6,59.19,12.61,3.49,28.81,29.56,5.66,12.03,36.41,3.33,170.6,703.64,47.9,5.87,16.25,6.5,29.87,9.4,18.89
TMPRSS3_A,Aditi,gain,517.14,1045.62,225.8,362.71,857.24,117.99,4157.58,123.24,8310.05,40.94,207.05,81.9,29.51,11.05,70.86,40.89,57.8,67.64,141.19,211.83,110.62,147.09,9.38,65.22,30.5,12.52,143.22,344.43,345.08,291,679.68,498.16,123.76,74.42,178.86,33.96,364.37,18.21,36.66,6.02,135.52,23.22,1.47,110.25,96.33,27.43,108.38,28.79
TNS3_A,Aditi,loss,235.06,1045.62,903.18,181.35,857.24,117.99,120.51,20.54,166.2,327.54,276.07,95.55,59.01,3.68,35.43,8.18,10.51,12.8,33.44,46.64,16.87,23.57,6.25,41.93,24.28,7.51,7.34,24.52,27.66,28.1,36.74,18.92,22.31,28.81,19.22,15.85,18.91,7.8,29.99,27.25,7.18,52.25,23.5,33.65,6.5,9.31,17.4,12.6
TOP1MT_A,Aditi,gain,94.02,1045.62,451.59,60.45,3428.95,235.99,60.25,20.54,166.2,266.12,179.45,122.85,49.18,19.65,15.18,24.53,31.53,18.28,7.43,79.68,18.75,8.94,43.78,27.95,34.24,30.05,5.97,32.95,55.31,15.41,18.37,12.61,23.01,14.4,10.35,35.65,8.59,6.76,33.33,32.92,8.97,17.42,30.47,35.98,6.5,31.83,17.4,19.79
TPD52_A,Aditi,gain,376.1,3136.86,225.8,241.8,857.24,117.99,421.78,143.78,166.2,470.84,317.48,163.8,113.11,27.01,80.98,122.67,61.74,137.1,196.92,703.51,40.87,61.76,25.02,184.01,18.05,75.97,34.43,106.51,205.54,125.1,149,88.28,66.58,26.41,23.65,10.75,44.69,16.65,51.66,54.15,34.1,47.9,38.18,13.93,44.92,46.04,33.15,45.88
TPM4_A,Aditi,gain,2961.78,24049.26,6548.06,4171.11,20573.7,4601.76,7170.33,575.12,7977.65,8802.58,2249.98,3262.37,462.26,153.48,273.3,1038.6,106.41,71.29,234.08,163.25,24.37,139.78,148.53,274.84,61.01,50.92,113.38,57.09,116.28,194,491.9,315.29,34.16,1022.68,2722.83,50.93,280.15,73.86,314.94,38.58,1004.3,285.93,32.31,68.47,100.47,70.52,96.39,107.96
TRIO_A,Aditi,gain,141.04,1045.62,225.8,60.45,857.24,353.98,60.25,20.54,166.2,20.47,41.41,13.65,4.92,4.91,5.06,16.36,2.63,3.66,3.72,5.83,6.37,13,1.56,18.63,1.87,7.51,7.34,8.81,6.91,3.63,14.29,25.22,6.62,2.4,20.69,3.4,5.16,5.2,11.66,7.79,8.97,5.81,4.04,8.12,8.27,5.88,5.88,8.1
TRMT44_A,Aditi,loss,47.01,1045.62,1128.98,302.25,857.24,117.99,301.27,225.94,332.4,429.89,372.7,95.55,98.35,69.99,182.2,73.6,118.23,133.45,137.48,239.04,239.99,222.67,179.8,149.07,215.39,217.05,193.25,275.08,341.94,289.19,177.58,201.78,305.04,84.02,135.99,117.15,182.19,93.11,141.64,181.93,96.03,92.89,163.01,89.36,104.61,95.99,114.72,101.67
TRPM2_A,Aditi,gain,141.04,1045.62,677.39,846.31,2571.71,471.98,120.51,924.31,831.01,1105.44,1325.14,682.5,432.75,983.49,1558.82,343.48,28.9,888.42,992.05,305.11,1289.93,988.21,1366.49,333.07,353.59,529.27,1438.61,863.56,280.34,673.56,1434.89,1513.39,1468.7,919.45,2674.05,1323.15,1553.74,1008.08,1234.77,722.76,1107.51,744.57,353.18,516.43,636.51,547.53,1159.21,846.61
TTC39A_A,Aditi,gain,47.01,1045.62,451.59,60.45,857.24,117.99,60.25,20.54,166.2,20.47,13.8,13.65,14.75,2.46,5.06,8.18,1.31,5.48,14.86,7.77,3.37,1.63,4.69,6.99,1.87,2.5,1.38,1.15,2.51,2.72,4.08,18.92,1.39,4.8,1.48,1.13,3.44,4.16,5,3.54,1,1.45,5.14,3.48,1.18,5.39,1,1.8
